Gilbert Hansen,20000462,DS,writing pop songs,writing pop songs,writing pop songs,writing pop songs,writing pop songs,writing pop songs,writing pop songs,writing pop songs,writing pop songs,writing pop songs,
Rosaline Flagg,20000318,CS,making home-made clothes,making home-made clothes,making home-made clothes,making home-made clothes,making home-made clothes,making home-made clothes,making home-made clothes,making home-made clothes,making home-made clothes,making home-made clothes,
Tonya Dunn,20000432,CS,starring in Hollywood movies,starring in Hollywood movies,starring in Hollywood movies,starring in Hollywood movies,starring in Hollywood movies,starring in Hollywood movies,starring in Hollywood movies,starring in Hollywood movies,starring in Hollywood movies,starring in Hollywood movies,
Irene Bryant,20000034,DS,directing comedies,directing comedies,directing comedies,directing comedies,directing comedies,directing comedies,directing comedies,directing comedies,directing comedies,directing comedies,
Teri Ortiz,20000149,DS,seducing women,seducing women,seducing women,seducing women,seducing women,seducing women,seducing women,seducing women,seducing women,seducing women,
Margit Rutledge,20000325,CS,wielding political power,wielding political power,wielding political power,wielding political power,wielding political power,wielding political power,wielding political power,wielding political power,wielding political power,wielding political power,
King Seaton,20000358,CS,inventing new confectionary,inventing new confectionary,inventing new confectionary,inventing new confectionary,inventing new confectionary,inventing new confectionary,inventing new confectionary,inventing new confectionary,inventing new confectionary,inventing new confectionary,
Jason Anderson,20000076,CS,interviewing politicians,interviewing politicians,interviewing politicians,interviewing politicians,interviewing politicians,interviewing politicians,interviewing politicians,interviewing politicians,interviewing politicians,interviewing politicians,
Fernando Fisher,20000124,DS,cooking fancy food,cooking fancy food,cooking fancy food,cooking fancy food,cooking fancy food,cooking fancy food,cooking fancy food,cooking fancy food,cooking fancy food,cooking fancy food,
Andrew Allison,20000119,CS,insulting minorities,insulting minorities,insulting minorities,insulting minorities,insulting minorities,insulting minorities,insulting minorities,insulting minorities,insulting minorities,insulting minorities,
Amiee Thacker,20000212,DS,tricking criminals,tricking criminals,tricking criminals,tricking criminals,tricking criminals,tricking criminals,tricking criminals,tricking criminals,tricking criminals,tricking criminals,
Joshua Simmons,20000065,CS,interpreting evidence,interpreting evidence,interpreting evidence,interpreting evidence,interpreting evidence,interpreting evidence,interpreting evidence,interpreting evidence,interpreting evidence,interpreting evidence,
William Rodgers,20000404,DS,collecting comic books,collecting comic books,collecting comic books,collecting comic books,collecting comic books,collecting comic books,collecting comic books,collecting comic books,collecting comic books,collecting comic books,
