Lori Shelton, 20000189, DS, hunting monsters,performing office chores,developing new technologies,killing teenagers,amassing wealth,preparing for war,teaching the next generation,brewing magican potions,killing demons,killing monsters
Roger Roberts, 20000021, CS, hiding from extremists,winning battles,posing pointed questions,singing pop songs,writing pop songs,exploring the new world,preventing crime,running a tech giant,delivering forehand slams,starring in indy movies
Stacey Roy, 20000137, CS, singing torch songs,blanketing staff with memos,lying on the stand,hosting a late night chat show,writing comedy,delivering forehand slams,running a multinational corporation,deflating political egos,hiding from extremists,designing clothes
Meagan Negrete, 20000201, DS, solving mysteries,creating nightmares,shagging spies,rescuing prisoners of war,killing demons,teaching Defence Against the Dark Arts,running a school for gifted teens,acting off-off-Broadway,running a multinational corporation,spreading philosophy
Candice Jimenez, 20000115, CS, singing pop songs,chasing criminals,pioneering new technologies,hiding from extremists,arresting criminals,designing clothes,hosting a late night chat show,starring in indy movies,exploring the new world,blanketing staff with memos
Roger Roberts, 20000021, DS, terrorizing sleepers,building an army,running a crime family,studying magic,pursuing criminals,extracting confessions,posing for photographs,running a multinational corporation,killing for Mi6,laughing maniacally
Justin Crawford, 20000156, CS, drawing whimsical cartoons,writing novels,promoting movie violence,painting realistic pictures,arresting criminals,deflating political egos,grilling interviewees,posing pointed questions,delivering forehand slams,running a multinational corporation
Trisha Richard, 20000355, DS, interpreting evidence,writing in ledgers,solving mysteries,expressing violent urges,killing for Mi6,building an army,tracking down criminals,abusing minorities,planning confidence tricks,studying magic tricks
Guy Holloway, 20000470, DS, hunting monsters,spreading philosophy,performing magic tricks,shagging spies,running a crime family,rescuing prisoners of war,foiling the schemes of evil villains,killing teenagers,winning tennis tournaments,blowing smoke rings
Sophie Stokes, 20000428, CS, making violent movies,running a frontier town,writing modern fiction,pioneering new technologies,designing clothes,chasing criminals,hiding from extremists,delivering forehand slams,selling fast food,promoting movie violence
Sandi Merritt, 20000353, CS, exploring the new world,whining at umpires,writing comedy,hiding from extremists,drawing whimsical cartoons,writing novels,writing pop songs,selling fast food,composing classical music,winning tennis tournaments
Danielle Houston, 20000492, DS, developing new technologies,interpreting evidence,hunting monsters,eluding authorities,pinching pennies,planning confidence tricks,killing demons,expressing violent urges,wooing potential brides,starring in Hollywood movies
Elisa Schmidt, 20000436, DS, digging for antiquities,writing in ledgers,solving mysteries,teaching Defence Against the Dark Arts,duelling acrobatically,shagging spies,cashing checks,interpreting evidence,hunting monsters,maintaining a secret identity
Cameron Oliver, 20000183, CS, winning tennis tournaments,punishing crime,whining at umpires,selling fast food,promoting movie violence,running a frontier town,commiting perjury,painting realistic pictures,singing pop songs,writing pop songs
Gregory Cook, 20000052, CS, singing pop songs,drawing whimsical cartoons,pioneering new technologies,running a multinational corporation,composing classical music,ordering wire-taps,promoting movie violence,singing protest songs,starring in indy movies,starring in action movies
Elliott Thorton, 20000305, CS, singing pop songs,campaigning for social causes,pioneering new technologies,deflating political egos,whining at umpires,hiding from extremists,preventing crime,writing pop songs,hosting a late night chat show,making violent movies
Lisa Bell, 20000047, DS, pinching pennies,killing teenagers,smoking herb,planning confidence tricks,finding clues,punishing criminals,brewing magican potions,performing magic tricks,promoting conservative values,tricking criminals
Willie Adams, 20000040, CS, hiding from extremists,delivering forehand slams,modeling clothes,singing pop songs,selling cosmetics,running a frontier town,throwing TVs out of the windows,exploring the new world,singing torch songs,designing clothes
Ella Mckenzie, 20000480, DS, solving mysteries,preparing for war,hunting demons,killing monsters,terrorizing sleepers,pinching pennies,shagging spies,fighting the forces of good,solving crimes,killing teenagers
Elizabeth Lopez, 20000064, CS, deflating political egos,singing pop songs,punishing crime,writing pop songs,winning tennis tournaments,preventing crime,exploring the new world,lying on the stand,promoting enlightenment,interviewing politicians
Chris Carter, 20000498, DS, killing for Mi6,developing new technologies,running a multinational corporation,hunting monsters,arresting drug dealers,teaching Defence Against the Dark Arts,eluding electronic ghosts,killing demons,solving crimes,writing in ledgers
Sarah Curtis, 20000468, CS, winning tennis tournaments,deflating political egos,composing classical music,exploring the new world,hiding from the public,whining at umpires,hosting a late night chat show,running a frontier town,writing comedy,developing military strategies
Damion Gaines, 20000352, DS, tricking criminals,terrorizing sleepers,causing mayhem,grabbing power,maintaining a secret identity,interpreting evidence,solving crimes,killing teenagers,blowing smoke rings,amassing wealth
Alberto Cannon, 20000130, CS, interviewing politicians,deflating political egos,arresting criminals,running a frontier town,writing pop songs,writing about social problems,playing James Bond,hosting a late night chat show,chasing criminals,selling cosmetics
Denise Campbell, 20000010, DS, preventing crime,writing in ledgers,running a school for gifted teens,killing monsters,tricking criminals,duelling acrobatically,wooing potential brides,building an army,selling fast food,killing demons
Wanda James, 20000067, CS, promoting enlightenment,playing James Bond,drawing whimsical cartoons,selling franchises,pioneering new technologies,running a fast-food business,promoting movie violence,arresting criminals,selling fast food,campaigning for social causes
Evelyn Briggs, 20000406, DS, writing in ledgers,developing new technologies,tracking down criminals,pursuing criminals,promoting conservative values,arresting drug dealers,winning tennis tournaments,terrorizing sleepers,cashing checks,smoking herb
Samantha Ellis, 20000475, CS, drawing whimsical cartoons,delivering forehand slams,writing pop songs,writing modern fiction,singing pop songs,grilling interviewees,winning tennis tournaments,playing James Bond,running a frontier town,whining at umpires
Lucy Wood, 20000434, DS, cashing checks,performing magic tricks,killing demons,solving crimes,running a crime family,planning assassinations,pinching pennies,starring in Hollywood movies,slashing victims,extracting confessions
Jose Washington, 20000037, DS, performing magic tricks,killing for Mi6,studying magic tricks,hunting demons,planning confidence tricks,grabbing power,starring in Hollywood movies,foiling the schemes of evil villains,teaching the next generation,developing new technologies
Kimberly Henderson, 20000033, DS, preventing crime,amassing wealth,killing monsters,planning confidence tricks,arresting drug dealers,teaching Defence Against the Dark Arts,performing magic tricks,blanketing staff with memos,tricking criminals,performing office chores
Evangeline Benitez, 20000276, CS, drawing whimsical cartoons,composing classical music,whining at umpires,grilling interviewees,singing protest songs,writing modern fiction,winning tennis tournaments,developing military strategies,promoting movie violence,singing pop songs
Marian Jennings, 20000120, CS, campaigning for social causes,exploring the new world,posing for photographs,delivering forehand slams,drawing whimsical cartoons,modeling clothes,playing drums,winning tennis tournaments,hosting a late night chat show,singing torch songs
Margie Fitzgerald, 20000473, CS, drawing whimsical cartoons,hosting a late night chat show,promoting movie violence,delivering forehand slams,writing pop songs,singing pop songs,selling cosmetics,running a multinational corporation,lying on the stand,pioneering new technologies
Tracy Jennings, 20000472, CS, playing drums,whining at umpires,winning battles,painting realistic pictures,delivering forehand slams,promoting movie violence,drawing whimsical cartoons,deflating political egos,modeling clothes,pioneering new technologies
Sage Goldsmith, 20000216, CS, drawing whimsical cartoons,hosting a late night chat show,pioneering new technologies,spreading philosophy,hiding from extremists,throwing TVs out of the windows,chasing criminals,winning battles,singing pop songs,arresting criminals
