Kira Earl, 20000343, CS, starring in Hollywood movies,racking up marriages,running a criminal enterprise,instigating rebellion,amassing nuclear weapons,promoting conservative values,recruiting dissidents,throwing Bunga Bunga parties,singing pop songs,enriching uranium
Olive Gordon, 20000181, CS, frowning at errant husbands,starring in Hollywood movies,promoting communism,fighting with swords,writing pop songs,promoting feminism,crushing dissent,running a crime family,starring in action movies,giving to the poor
Rudolph Manning, 20000177, DS, starring in Hollywood movies,gadding about town,promoting pacifism,eluding the CIA,solving mysteries,talking in riddles,piloting a spaceship,watching MacGyver reruns,solving crimes,shagging spies
Marcus Walton, 20000438, CS, throwing sex parties,promoting pacifism,instigating rebellion,wielding political power,running a crime family,promoting conservative values,womanizing,licking frogs,building a search engine,playing camp villains
Rose Thompson, 20000050, DS, reporting the news,killing for Mi6,beating menial staff,terrorizing employees,eating census takers,eluding FBI profilers,tracking down criminals,signing sports memorabilia,diagnosing diseases,finding clues
Catherina Hanna, 20000284, CS, performing Web searches,chasing after women,coining epigrams,running a media empire,wielding political power,throwing sex parties,singing pop songs,solving crimes,campaigning for the presidency,dancing to disco music
Timothy Easley, 20000265, CS, painting colorful pictures,hiding from the public,running for the presidency,managing hedge funds,playing soccer,making political gaffes,playing camp villains,enjoying ball-room dancing,crushing dissent, spreading revolution
Marcel Traylor, 20000293, CS, campaigning for the presidency,dating centrefolds,starring in comedies,raising new-age children,scandalizing polite society,sucking roots,fighting with swords,running for the senate,instigating rebellion,amassing nuclear weapons
Kirby Broome, 20000332, CS, fighting with swords,chasing after women,entertaining teenagers,writing pop songs,ranting about liberals,writing comedy,issuing threats,managing hedge funds,starring in Hollywood movies,racking up marriages
Patricia Alexander, 20000011, CS, crushing dissent,arguing with political opponents,running Ponzi schemes,signing sports memorabilia,publishing soft pornography,promoting feminism,enjoying ball-room dancing,publishing newspapers,licking frogs,campaigning for the presidency
Eufemia Mcduffie, 20000368, DS, foiling the schemes of evil villains,signing sports memorabilia,managing hedge funds,twirling a cane,making money,causing mayhem,punishing criminals,pulling pranks,inventing time machines,solving mysteries
Brian Butler, 20000015, DS, promoting mysticism,doing the Charleston,pursuing criminals,solving mysteries,interpreting evidence,inventing time machines,eating people,sucking roots,looking for hidden treasures,writing novels
Wanda James, 20000067, CS, performing household chores,starring in Hollywood movies,producing Hipbop records,playing golf,promoting conservative values,cheating clients,hiding from the public,managing hedge funds,issuing threats,fomenting social revolution
Walter Jenkins, 20000045, CS, instigating rebellion,writing polemics,running a tech giant,writing novels,writing plays,ruling over subjects,singing pop songs,dating centrefolds,cracking enemy codes,writing comedy
Arnold Little, 20000105, CS, fighting with swords,dancing to disco music,enjoying ball-room dancing,writing pop songs,directing action movies,running a kingdom,starring in Hollywood movies,racking up marriages,publishing soft pornography,running a tech giant
Warren Powers, 20000154, CS, promoting conservative values,interpreting evidence,publishing soft pornography,recruiting dissidents,amassing nuclear weapons,singing pop songs,spreading revolution,hiding from the public,leading armies into battle,singing Hipbop songs
Elizabeth Lopez, 20000064, CS, enjoying ball-room dancing,promoting Heliocentrism,running a tech giant,promoting conservative values,designing clothes,enriching uranium,ruling over subjects,running for the senate,spreading revolution,running a kingdom
Judith Butler, 20000146, CS, spreading revolution,giving to the poor,popping Viagra,working in a freak show,promoting conservative values,coining sparkling witticisms,campaigning for democracy,dancing to disco music,wielding political power,crushing dissent
Tina Griffin, 20000138, DS, extracting confessions,eluding FBI profilers,plotting election strategies,watching MacGyver reruns,beating menial staff,plotting against family members,promoting science,defending the weak,sucking roots,fighting for justice
Margaret Martinez, 20000056, DS, diagnosing diseases,piloting the Millenium Falcon,killing people in ingenious ways,solving crimes,fighting for democracy,driving under the influence,making money,solving mysteries,preventing crime,inventing time machines
Shelley Brewer, 20000113, CS, leading armies into battle,issuing threats,over-acting,enriching uranium,promoting conservative values,cheating clients,instigating rebellion,running a tech giant,dancing to disco music,writing TV comedies
Karen Bell, 20000157, CS, promoting pacifism,singing middle-of-the-road songs,writing pop songs,issuing threats,singing torch songs,making threatening phone calls,shilling for rental car companies,starring in comedies,giving to the poor,hiding from the public
Marita Blue, 20000246, CS, over-acting,enjoying ball-room dancing,writing TV comedies,promoting liberal values,interpreting evidence,instigating rebellion,running a criminal enterprise,licking frogs,dancing to disco music,ruling over subjects
Robert Gray, 20000082, DS, transforming into vehicles,pulling pranks,making money,talking in riddles,building an army,eluding FBI profilers,devising evil schemes,promoting pacifism,promoting greed,doing the Charleston
Elnora Beaudoin, 20000371, DS, defending the weak,building an army,punishing criminals,terrorizing employees,diagnosing diseases,fighting for justice,foiling the schemes of evil villains,finding clues,solving crimes,directing action movies
Cameron Oliver, 20000183, DS, pioneering new technologies,terrorizing employees,interpreting evidence,instigating rebellion,solving crimes,eating carrots,teaching the next generation,sucking roots,finding clues,signing sports memorabilia
Verla Carnahan, 20000394, CS, painting colorful pictures,writing plays,licking frogs,instigating rebellion,hiding from the public,giving to the poor,leading armies into battle,frowning at errant husbands,fighting with swords,running a criminal enterprise
Seth Willis, 20000129, CS, interpreting evidence,fighting for democracy,starring in Hollywood movies,singing Hipbop songs,promoting world peace,writing pop songs,running a tech giant,running a crime family,performing household chores,throwing sex parties
Elias Matthews, 20000116, DS, tracking down criminals,singing bawdy songs,promoting science,singing middle-of-the-road songs,deep-frying chicken,duelling acrobatically,fighting the forces of good,signing sports memorabilia,preventing crime,fighting for justice
Gloria Vargas, 20000495, CS, ruling over subjects,arguing against capitalism,writing pop songs,fighting for democracy,studying computability,performing Web searches,fomenting social revolution,singing pop songs,singing middle-of-the-road songs,licking frogs
Towanda Sales, 20000297, CS, chasing after women,spreading revolution,wielding political power,dancing to disco music,running a tech giant,promoting conservative values,starring in action movies,cracking enemy codes,publishing newspapers,coining epigrams
Beverly Gilbert, 20000422, CS, avoiding taxes,wielding political power,starring in comedies,studying computability,picking weird children names,building a search engine,collecting rock samples,running a tech giant,developing military strategies,popping Viagra
Jeffrey Scott, 20000063, DS, piloting the Millenium Falcon,finding clues,burping,fighting for the resistance,fighting for the rebel alliance,climbing social ladders,diagnosing diseases,doing the Kessel run,belching,wielding political power
Dan Pope, 20000174, CS, running a new-age website,writing TV comedies,starring in Hollywood movies,fighting with swords,writing pop songs,promoting communism,running pyramid schemes,sucking roots,over-acting,singing middle-of-the-road songs
Jean Howard, 20000094, DS, piloting the Millenium Falcon,eating carrots,playing rock guitar,making money,defending the weak,duelling acrobatically,eluding FBI profilers,writing novels,diagnosing diseases,promoting capitalism
Penny Grant, 20000425, DS, eluding FBI profilers,drinking one's life away,finding clues,devising evil schemes,solving mysteries,wisecracking,foiling the schemes of evil villains,promoting science,solving crimes,running a hotel
Omer Mcqueen, 20000308, DS, raging against the machine,devising evil schemes,playing rock music,promoting pacifism,smoking Laramie Hi-Tars,directing action movies,killing for Mi6,interpreting evidence,eluding FBI profilers,foiling the schemes of evil villains
Joni Velasquez, 20000210, DS, painting self-portraits,foiling the schemes of evil villains,eating census takers,interpreting evidence,wielding political power,piloting the Millenium Falcon,running a criminal empire,solving crimes,signing sports memorabilia,devising evil schemes
Angelica Wise, 20000447, DS, piloting a spaceship,preventing crime,diagnosing diseases,solving crimes,promoting logical thinking,piloting the Millenium Falcon,recruiting dissidents,directing action movies,promoting mysticism,fighting for justice
Rosaline Flagg, 20000318, DS, solving crimes,fighting the forces of good,twirling a cane,tracking down criminals,promoting science,causing mayhem,wielding political power,teaching the next generation,building an army,preventing crime
Benjamin Chavez, 20000178, CS, spreading revolution,chasing after women,dancing to disco music,giving to the poor,promoting communism,running a criminal enterprise,singing parody songs,publishing newspapers,starring in Hollywood movies,amassing nuclear weapons
Julie Ward, 20000077, CS, fighting for democracy,signing sports memorabilia,running a new-age website,writing comedy,crushing dissent,directing robot movies,leading armies into battle,throwing sex parties,popping Viagra,spreading revolution
Evelyn Briggs, 20000406, DS, punishing criminals,finding clues,promoting pacifism,solving crimes,shagging spies,instigating rebellion,making money,treating diseases,twirling a cane,doing the Charleston
