Julia Smith, 20000017, CS, collecting treasures,selling fast food,starring in Hollywood movies,hiding from extremists,ranting about liberals,writing short stories,warning about totalitarianism,writing pop songs,selling cheap airline seats,seducing women
Melissa Alexander, 20000160, DS, selling fast food,teaching young mutants,composing advertizing jingles,impersonating women,leading revolts,fighting the forces of good,womanizing,cross-dressing in women's clothes,arresting criminals,promoting capitalism
Lee Klein, 20000104, DS, chasing terrorists,pioneering new technologies,making soap,brewing magican potions,engaging in bare-knuckle fighting,starring in Hollywood movies,tempting fate,preventing crime,wielding political power,reading minds
Samuel Allen, 20000074, DS, writing up case notes,building an army,solving crimes,running a multinational corporation,terrorizing sleepers,attending cocktail parties,pursuing criminals,tracking down criminals,killing demons,fighting with swords
Lovella Sumner, 20000262, DS, interpreting evidence,singing pop songs,running a media empire,commanding a spaceship,inventing electrical marvels,starring in madcap comedies,arresting criminals ,ruling over subjects,eluding capture,spreading political gossip
Hisako Winslow, 20000328, CS, writing rap songs,starring in Hollywood movies,solving mysteries,writing on wax tablets,insulting minorities,writing pop songs,leading armies into battle,testing new technologies,amassing nuclear weapons,promoting Heliocentrism
Olive Gordon, 20000181, DS, promoting science,teaching magic,interviewing politicians,reading the news,selling franchises,promoting conservative values,starring in Hollywood movies,finding clues,stealing human fat,reading self-help books
China Hendricks, 20000364, DS, solving crimes,smoking cigarettes,making topiary sculptures,playing Baccarat ,leading revolts,counting calories,starring in Hollywood movies,writing for the New Yorker,pioneering new technologies,hunting monsters
Craig Kelly, 20000164, CS, staring at the moon,terrorizing employees,starring in Hollywood movies,promoting atheism,singing country music,running for the senate,ruling over subjects,solving mysteries,writing TV comedies,ranting about liberals
Rachel Nelson, 20000087, DS, hunting monsters,reading minds,teaching the next generation,attacking consumerism,hunting demons,running a budget airline,leading revolts,recruiting dissidents,interviewing politicians,solving mysteries
Dave Hammond, 20000490, CS, telling politicians what to do,promoting Heliocentrism,promoting atheism,promoting democracy,singing pop songs,playing jazz trumpet,promoting Catholic values,fighting for democracy,climbing social ladders,hosting automotive shows
Marlen Poston, 20000387, CS, running a media empire,hiding from extremists,spreading revolution,promoting racial harmony,patenting new technologies ,writing pop songs,puncturing artistic sensibilities,issuing threats,doing stand-up,playing the banjo
Evangeline Benitez, 20000276, CS, giving investment advice,promoting Catholic values,ruling over subjects,writing pop songs,gyrating hips,coining sparkling witticisms,running a kingdom,producing Hipbop records,leading armies into battle,hosting automotive shows
Amanda Barnes, 20000095, DS, selling franchises,running a multinational corporation,apprehending criminals,looking after children,running a software company,offering medical opinions,killing rival gladiators,promoting socialism,carrying secret plans,running a school for gifted teens
Ernie Post, 20000233, DS, fighting in gladiator arenas,preventing crime,singing pop songs,eating people,running a fast-food business,hacking into computers,chasing murderers,solving mysteries,promoting diversity,crushing dissent
Drema Saylor, 20000376, DS, interviewing celebrities,ruling over subjects,apprehending criminals,killing demons,eating people,eluding imperial storm-troopers,promoting diversity,making topiary sculptures,writing pop songs,eluding capture
Jacquiline Mcmanus, 20000204, CS, writing for the New Yorker,solving crimes,healing the sick,writing plays,singing torch songs,running assembly lines,writing about social problems,racking up marriages,starring in comedies,performing stand-up
Timothy Easley, 20000265, DS, over-acting,hunting monsters,performing magic tricks,chasing terrorists,playing rock music,spreading revolution,singing pop songs,killing demons,drinking too much red wine,promoting tolerance
Jacquiline Mcmanus, 20000204, DS, reporting the news,avoiding growing old,making modern art,fighting for justice,dating young women,practicing insincerity,finding clues,standing up to bullies,devising evil schemes,running a multinational corporation
Terry Flores, 20000055, CS, writing pop songs,ruling over subjects,wielding political power,promoting movie violence,promoting Heliocentrism,issuing threats,building airplanes,singing torch songs,scandalizing polite society,warning about totalitarianism
Krystin Camp, 20000231, CS, ranting about liberals,promoting pop music,wielding political power,delivering judgments,losing weight,directing Hollywood movies,studying science,fighting for democracy,testing new technologies,building airplanes
Rosemary Peterson, 20000403, CS, starring in comedies,writing pop songs,teaching philosophy,preventing crime,climbing social ladders,living amongst apes,ranting about liberals,writing short stories,writing modern fiction,campaigning for democracy
Luz Jordan, 20000482, CS, running a kingdom,promoting communism,writing pop songs,writing TV comedies,rooting out facts,fighting with swords,proving math theorems,manipulating ingenues,building a search engine,seducing women
Lucy Wood, 20000434, CS, drawing whimsical cartoons,running a kingdom,writing Hollywood movies,singing pop songs,writing pop songs,writing about social problems,campaigning for democracy,preaching to presidents,winning battles,making kitsch
Jamie Brewer, 20000405, DS, reporting the news,tracking down criminals,fighting for the resistance,smoking cigarettes,running a fast-food business,inventing electrical marvels,running a hardware company,making soap,hiding from extremists,making modern art
Tonya Dunn, 20000432, CS, wielding political power,ranting about liberals,promoting conservative values,hosting automotive shows,spreading revolution,selling out,running a tech giant,writing pop songs,running an empire,starring in Hollywood movies
Charlie Gibson, 20000464, DS, playing Baccarat ,running a hardware company,pursuing criminals,solving crimes,standing up to bullies,searching for a new world,solving mysteries,promoting hair products,promoting charity,performing Web searches
